elapsed_s,angle_y_deg,gy_deg_s,weight_g,pouring_rate_g_s
0.469,-0.00,0.00,0.20,0.02
0.953,-0.01,0.00,0.19,-0.01
1.453,0.00,0.00,0.20,0.01
1.969,-6.91,-39.92,0.20,-0.00
2.469,-28.61,-48.95,0.20,0.00
2.969,-48.57,-36.00,0.20,0.01
3.469,-58.68,-16.68,0.20,-0.01
3.969,-68.46,-9.05,0.20,0.00
4.469,-72.58,-0.23,1.50,2.61
4.969,-74.21,-8.21,7.53,12.03
5.469,-79.01,-1.98,12.97,10.86
5.969,-82.66,-0.30,19.40,12.84
6.469,-86.14,-11.01,26.40,13.96
6.969,-88.26,0.12,32.22,11.62
7.469,-89.01,0.00,37.24,10.03
7.969,-89.06,-0.30,39.97,5.46
8.469,-89.15,-0.58,41.11,2.25
8.985,-89.57,-0.37,41.64,1.06
9.485,-90.20,0.61,42.05,0.83
9.985,-90.17,0.26,42.49,0.87
10.485,-90.18,0.00,42.77,0.56
10.985,-90.17,0.00,42.89,0.24
11.485,-90.17,0.00,43.00,0.23
11.985,-90.18,0.00,43.18,0.36
12.485,-90.18,0.00,43.25,0.14
12.985,-90.18,0.00,43.33,0.16
13.485,-90.18,0.00,43.45,0.24
13.985,-90.19,0.00,43.57,0.25
14.485,-90.19,0.00,43.58,0.02
14.985,-90.19,0.00,43.62,0.07
15.485,-90.19,0.00,43.59,-0.06
15.985,-90.19,0.00,43.65,0.11
16.500,-90.19,0.00,43.67,0.05
17.000,-90.18,0.00,43.68,0.02
17.500,-90.18,0.00,43.68,0.00
18.000,-90.19,0.00,43.68,-0.01
18.500,-90.19,0.00,43.68,0.00
19.000,-90.19,0.00,43.68,-0.01
19.500,-90.19,0.00,43.68,0.00
20.000,-90.19,0.00,43.67,-0.00
20.500,-90.19,0.00,43.68,0.00
21.000,-90.19,0.00,43.67,-0.00
21.500,-90.19,0.00,43.68,0.01
22.000,-90.20,0.00,43.83,0.30
22.500,-90.20,0.00,43.69,-0.29
23.000,-90.20,0.00,43.80,0.21
23.500,-90.20,0.00,43.91,0.22
24.016,-90.20,0.00,43.77,-0.27
24.516,-90.19,0.00,43.68,-0.18
25.016,-90.19,0.00,43.69,0.01
25.516,-90.20,0.00,44.00,0.63
26.016,-90.20,0.00,43.78,-0.45
26.516,-90.20,0.00,43.76,-0.04
27.016,-90.20,0.00,43.75,-0.00
27.516,-90.19,0.00,43.76,0.00
28.016,-90.19,0.00,43.75,-0.00
