elapsed_s,angle_y_deg,gy_deg_s,weight_g,pouring_rate_g_s
0.485,0.02,0.00,0.23,0.02
0.985,0.02,0.00,0.23,0.01
1.485,-3.47,-39.78,0.22,-0.01
1.985,-14.55,-59.45,0.22,-0.00
2.500,-31.75,-34.04,0.23,0.01
2.985,-48.88,-37.12,0.23,0.00
3.500,-59.58,-22.07,0.23,0.01
4.000,-63.51,-2.68,0.23,0.00
4.500,-67.93,-4.78,0.26,0.05
5.000,-70.64,-4.36,1.91,3.30
5.500,-73.04,-3.94,5.60,7.34
6.000,-76.82,-4.85,9.87,8.53
6.500,-80.61,-14.16,15.25,10.73
7.000,-84.03,-9.19,21.88,13.24
7.516,-87.47,-4.57,28.78,13.76
8.016,-89.10,-0.30,34.49,11.40
8.516,-89.41,0.33,38.63,8.26
9.016,-89.55,0.00,40.76,4.27
9.516,-89.72,-0.16,41.66,1.80
10.016,-90.39,0.19,42.19,1.04
10.516,-90.31,0.00,42.56,0.74
11.016,-90.30,0.00,42.90,0.68
11.516,-90.29,0.00,43.05,0.30
12.016,-90.28,0.00,43.16,0.22
12.516,-90.28,0.00,43.34,0.37
13.016,-90.27,0.00,43.40,0.11
13.516,-90.27,0.00,43.49,0.17
14.016,-90.28,0.00,43.58,0.19
14.516,-90.28,0.00,43.61,0.07
15.016,-90.28,0.00,43.68,0.15
15.516,-90.28,0.00,43.73,0.09
16.016,-90.28,0.00,43.77,0.09
16.516,-90.28,0.00,43.78,0.02
17.016,-90.28,0.00,43.83,0.10
17.532,-90.28,0.00,43.83,0.00
18.032,-90.28,0.00,43.83,-0.00
18.532,-90.28,0.00,43.83,-0.01
19.032,-90.28,0.00,43.83,0.00
19.532,-90.28,0.00,43.83,-0.00
20.032,-90.29,0.00,43.83,0.01
20.532,-90.29,0.00,43.82,-0.02
21.032,-90.28,0.00,43.83,0.01
21.532,-90.28,0.00,43.83,0.00
22.032,-90.29,0.00,43.83,-0.01
22.532,-90.28,0.00,43.83,0.01
23.032,-90.29,0.00,43.83,0.00
23.532,-90.29,0.00,43.83,-0.00
24.032,-90.28,0.00,43.83,-0.01
24.532,-90.29,0.00,43.83,0.01
25.047,-90.29,0.00,43.84,0.02
25.547,-90.29,0.00,44.15,0.62
