elapsed_s,angle_y_deg,gy_deg_s,weight_g,pouring_rate_g_s
0.469,0.18,0.00,0.27,0.02
0.969,0.18,0.00,0.27,-0.00
1.469,0.18,0.12,0.27,-0.00
1.969,-4.75,-9.96,0.27,0.00
2.469,-15.49,-25.01,0.27,0.00
2.969,-33.01,-22.49,0.27,-0.00
3.469,-42.15,-17.66,0.27,-0.00
3.969,-50.32,-25.22,0.27,-0.00
4.469,-60.56,-16.19,0.27,0.01
4.969,-66.96,-9.40,0.27,-0.01
5.469,-67.38,-0.93,0.87,1.20
5.969,-69.52,-6.11,3.02,4.29
6.469,-72.26,-3.66,5.28,4.51
6.969,-74.04,-5.13,8.65,6.73
7.484,-76.97,-10.10,12.55,7.76
7.969,-80.20,-6.60,16.93,8.74
8.484,-82.56,-6.04,22.24,10.62
8.984,-85.29,-7.16,27.24,9.97
9.484,-86.93,-7.51,31.78,9.07
9.984,-89.72,-0.23,35.71,7.84
10.484,-90.75,0.12,39.24,7.03
10.984,-90.65,0.26,41.32,4.15
11.484,-90.66,0.12,42.49,2.33
11.984,-90.67,0.12,42.97,0.96
12.484,-90.68,0.00,43.14,0.34
12.984,-90.68,0.00,43.33,0.38
13.484,-90.68,0.00,43.40,0.15
13.984,-90.68,0.00,43.54,0.28
14.484,-90.68,0.00,43.67,0.26
14.984,-90.68,0.00,43.64,-0.06
15.484,-90.68,0.00,43.72,0.15
16.000,-90.68,0.00,43.77,0.09
16.500,-90.69,0.00,43.77,0.00
17.000,-90.69,0.00,43.81,0.09
17.500,-90.69,0.00,43.85,0.08
18.000,-90.69,0.00,43.84,-0.02
18.500,-90.69,0.00,43.84,0.00
19.000,-90.69,0.00,43.90,0.11
19.500,-90.69,0.00,43.90,0.01
20.000,-90.70,0.00,43.91,0.00
20.516,-90.69,0.00,43.91,0.01
21.000,-90.69,0.00,43.91,-0.01
21.500,-90.69,0.00,43.91,0.01
22.000,-90.70,0.00,43.91,-0.01
22.516,-90.70,0.00,43.91,-0.00
23.016,-90.69,0.00,43.91,0.00
23.516,-90.70,0.00,43.91,-0.00
