elapsed_s,angle_y_deg,gy_deg_s,weight_g,pouring_rate_g_s
0.453,-0.29,0.00,0.41,0.01
0.953,-0.29,0.00,0.40,-0.00
1.453,-14.41,-142.96,0.40,-0.00
1.953,-72.56,-85.98,0.41,0.01
2.453,-89.84,-24.66,4.24,7.67
2.953,-93.61,-1.00,28.33,48.09
3.453,-93.58,-0.65,40.38,24.05
3.953,-93.76,-0.30,42.04,3.32
4.453,-93.89,-0.51,42.34,0.60
4.953,-93.67,0.00,42.43,0.19
5.453,-93.84,-0.30,42.51,0.15
5.953,-93.93,0.00,42.55,0.08
6.453,-93.98,-0.23,42.60,0.08
6.953,-94.01,0.00,42.60,0.01
7.453,-94.03,0.00,42.61,0.01
7.953,-94.04,0.00,42.67,0.14
8.453,-94.06,0.00,42.67,0.00
8.953,-94.07,0.00,42.68,0.01
9.453,-94.07,0.00,42.68,0.00
9.969,-94.08,0.00,42.68,-0.00
10.469,-94.08,0.00,42.69,0.01
10.969,-94.09,-0.16,42.69,0.01
11.469,-94.09,0.00,42.69,0.00
11.969,-94.09,0.00,42.70,0.00
